player_id,player_name,age,nationality,club,position,overall_rating,potential_rating,matches_played,goals,assists,minutes_played,market_value_million_eur,contract_years_left,injury_prone,transfer_risk_level,position_group,goal_contribution,performance_score,age_group,experienced
1,Player_1,23,Germany,Liverpool,ST,65,87,8,6,14,2976,122.51,3,No,Low,attacker,20,0.03309811827956989,prime,False
2,Player_2,36,England,FC Barcelona,ST,90,76,19,3,18,2609,88.47,5,No,High,attacker,21,0.04254503641241855,veteran,False
3,Player_3,31,France,Juventus,RB,75,91,34,12,15,1158,20.24,3,No,Medium,defender,27,0.133419689119171,veteran,False
4,Player_4,27,Portugal,Manchester City,LW,90,86,35,18,13,145,164.29,0,Yes,Medium,winger,31,1.0586206896551724,prime,False
5,Player_5,24,Brazil,Liverpool,CDM,84,96,41,6,6,2226,121.34,4,No,Low,midfielder,12,0.03504043126684636,prime,False
6,Player_6,37,Argentina,Manchester City,CM,92,91,35,9,7,263,98.51,5,Yes,Low,midfielder,16,0.34980988593155893,veteran,False
7,Player_7,23,Netherlands,Liverpool,RB,72,66,53,24,6,4299,67.69,1,No,Low,defender,30,0.03349616189811584,prime,False
8,Player_8,35,Spain,Bayern Munich,LW,69,97,8,34,17,3101,24.71,0,No,Low,winger,51,0.06868752015478878,veteran,False
9,Player_9,39,Brazil,FC Barcelona,GK,83,90,21,24,23,2106,127.5,3,Yes,High,goalkeeper,47,0.09458689458689458,veteran,False
11,Player_11,27,Spain,Bayern Munich,LB,90,83,4,11,18,987,23.08,0,No,High,defender,29,0.18439716312056736,prime,False
12,Player_12,37,Argentina,PSG,ST,72,69,8,39,3,1347,89.27,2,No,Medium,attacker,42,0.1492204899777283,veteran,False
13,Player_13,20,Argentina,Bayern Munich,LW,62,97,36,11,22,1360,87.53,5,No,Medium,winger,33,0.10772058823529412,young,False
14,Player_14,24,France,Real Madrid,CM,93,84,37,5,2,2838,63.31,5,No,High,midfielder,7,0.022727272727272728,prime,False
15,Player_15,19,Spain,Liverpool,CM,87,94,18,9,16,1726,142.19,3,Yes,Medium,midfielder,25,0.07271147161066048,young,False
16,Player_16,38,France,Bayern Munich,RW,78,72,7,1,21,2289,18.37,0,Yes,Medium,winger,22,0.05067715159458279,veteran,False
17,Player_17,37,Brazil,Manchester City,LB,82,81,41,24,18,907,37.3,0,No,Medium,defender,42,0.20176405733186328,veteran,False
18,Player_18,18,Germany,PSG,RB,91,65,42,6,14,1183,0.79,3,Yes,Medium,defender,20,0.1441251056635672,young,False
19,Player_19,28,Germany,Juventus,LW,72,67,31,39,5,2824,67.45,2,Yes,Medium,winger,44,0.06728045325779036,prime,False
20,Player_20,22,Germany,Liverpool,CM,92,90,12,22,11,1258,52.77,5,No,Medium,midfielder,33,0.10651828298887123,young,False
21,Player_21,18,Spain,Real Madrid,RW,93,95,19,10,18,198,156.13,4,Yes,Medium,winger,28,0.7297979797979798,young,False
22,Player_22,37,Germany,Juventus,LW,92,72,35,35,5,1056,134.37,2,Yes,High,winger,40,0.17613636363636365,veteran,False
23,Player_23,17,Brazil,Bayern Munich,CB,64,72,42,22,10,2455,15.66,3,No,Low,defender,32,0.05621181262729124,young,False
24,Player_24,28,France,Juventus,CM,62,92,43,6,19,3365,133.5,4,Yes,Medium,midfielder,25,0.03536404160475483,prime,False
25,Player_25,38,Spain,Juventus,CB,66,68,36,26,19,1260,121.73,0,No,Low,defender,45,0.12936507936507938,veteran,False
26,Player_26,28,France,PSG,LW,83,80,29,12,9,3978,51.07,2,Yes,High,winger,21,0.028908999497234793,prime,False
27,Player_27,33,Spain,Juventus,CM,81,77,9,16,15,2835,3.28,2,No,Low,midfielder,31,0.04673721340388007,veteran,False
28,Player_28,26,France,Juventus,CB,82,84,30,31,17,1313,21.17,5,No,Low,defender,48,0.1431835491241432,prime,False
29,Player_29,32,Argentina,Liverpool,CDM,89,69,24,25,13,1902,45.36,5,No,High,midfielder,38,0.07702418506834911,veteran,False
30,Player_30,31,France,PSG,RW,77,84,28,21,3,3975,147.08,4,Yes,Medium,winger,24,0.030817610062893082,veteran,False
31,Player_31,31,Germany,Real Madrid,RB,91,88,23,12,11,577,84.02,0,No,Low,defender,23,0.2954939341421144,veteran,False
32,Player_32,35,Argentina,Bayern Munich,LB,66,98,38,11,19,4430,165.35,2,No,Low,defender,30,0.033408577878103835,veteran,False
33,Player_33,28,France,PSG,RW,92,98,20,6,22,1020,142.15,4,Yes,High,winger,28,0.1411764705882353,prime,False
34,Player_34,39,Spain,PSG,CB,64,83,40,0,20,3653,52.04,2,Yes,Low,defender,20,0.0372296742403504,veteran,False
35,Player_35,36,Spain,FC Barcelona,CM,87,81,8,32,7,3844,152.24,5,No,Low,midfielder,39,0.03524973985431842,veteran,False
36,Player_36,19,Netherlands,PSG,CDM,67,69,41,13,6,3573,21.45,0,No,Medium,midfielder,19,0.023369717324377273,young,False
37,Player_37,21,Spain,FC Barcelona,CDM,74,89,41,16,8,2293,6.98,0,No,Medium,midfielder,24,0.04404709986916703,young,False
38,Player_38,35,England,Bayern Munich,LB,63,82,1,3,23,610,109.73,1,No,Medium,defender,26,0.23524590163934425,veteran,False
39,Player_39,23,Brazil,Juventus,CDM,93,72,3,38,24,328,61.84,4,Yes,Medium,midfielder,62,0.6661585365853658,prime,False
40,Player_40,37,Spain,Liverpool,RW,64,91,7,0,16,546,59.63,5,No,High,winger,16,0.16117216117216118,veteran,False
41,Player_41,25,Argentina,Liverpool,CDM,92,79,31,23,9,338,123.85,5,No,High,midfielder,32,0.378698224852071,prime,False
42,Player_42,23,Netherlands,Bayern Munich,LB,64,77,13,33,2,3181,153.09,5,No,Medium,defender,35,0.04181075133605784,prime,False
43,Player_43,34,Spain,Bayern Munich,CDM,93,80,48,33,20,3041,58.33,3,Yes,Low,midfielder,53,0.06330154554422887,veteran,False
44,Player_44,20,England,Manchester City,CDM,85,86,12,23,24,806,58.84,2,Yes,Medium,midfielder,47,0.22890818858560794,young,False
45,Player_45,30,Germany,Juventus,GK,60,84,20,14,7,1033,96.33,0,No,Medium,goalkeeper,21,0.1393998063891578,veteran,False
46,Player_46,34,Argentina,Bayern Munich,RW,63,77,23,16,13,3273,117.75,2,No,Medium,winger,29,0.0406355025970058,veteran,False
47,Player_47,25,England,PSG,CB,85,84,49,12,6,3987,36.92,2,No,Low,defender,18,0.03799849510910459,prime,False
48,Player_48,37,Germany,Liverpool,ST,92,66,17,6,15,3333,164.33,3,No,Medium,attacker,21,0.034503450345034506,veteran,False
49,Player_49,18,Portugal,Real Madrid,CDM,92,83,44,8,17,2740,117.97,0,No,High,midfielder,25,0.04744525547445255,young,False
50,Player_50,36,Portugal,Liverpool,RB,67,70,39,34,10,1696,112.72,1,No,Low,defender,44,0.09109669811320754,veteran,False
51,Player_51,31,Argentina,FC Barcelona,CDM,79,78,25,22,5,3650,162.8,5,No,Medium,midfielder,27,0.028356164383561644,veteran,False
52,Player_52,23,France,Liverpool,GK,75,68,31,38,19,2082,163.35,4,No,Medium,goalkeeper,57,0.08645533141210375,prime,False
53,Player_53,28,Brazil,Manchester City,CB,80,86,43,22,20,1998,24.83,2,No,Low,defender,42,0.09109109109109109,prime,False
54,Player_54,24,Netherlands,Juventus,RB,85,98,54,25,13,1685,26.54,3,Yes,Medium,defender,38,0.10593471810089021,prime,False
55,Player_55,31,Brazil,Bayern Munich,RB,82,91,52,0,20,1603,137.27,3,Yes,Low,defender,20,0.10168434185901434,veteran,False
56,Player_56,19,England,Juventus,RW,77,71,32,13,12,4349,172.26,4,No,Medium,winger,25,0.02897217751207174,young,False
57,Player_57,30,Germany,Bayern Munich,LB,90,67,51,31,3,4112,120.14,4,No,Medium,defender,34,0.04182879377431906,veteran,False
58,Player_58,33,Brazil,Liverpool,LB,71,97,30,9,19,260,74.33,0,Yes,Medium,defender,28,0.5903846153846154,veteran,False
59,Player_59,20,Germany,Real Madrid,CB,60,66,17,0,19,3796,123.18,2,No,Low,defender,19,0.03371970495258166,young,False
60,Player_60,34,Germany,Real Madrid,LB,68,80,34,4,10,2775,41.57,2,No,Low,defender,14,0.04540540540540541,veteran,False
61,Player_61,24,England,Manchester City,LW,62,89,11,2,17,500,179.63,4,No,Medium,winger,19,0.195,prime,False
62,Player_62,20,England,FC Barcelona,GK,85,79,50,26,0,1015,77.88,5,No,Low,goalkeeper,26,0.20098522167487684,young,False
63,Player_63,18,England,Liverpool,ST,68,88,24,21,11,2333,167.74,1,Yes,Low,attacker,32,0.06472353193313331,young,False
64,Player_64,22,Brazil,Bayern Munich,ST,75,79,44,17,17,2054,77.83,2,Yes,Low,attacker,34,0.07619279454722493,young,False
65,Player_65,38,Portugal,Liverpool,RW,83,95,30,15,6,3963,167.1,3,No,Medium,winger,21,0.0290184203885945,veteran,False
66,Player_66,26,England,Manchester City,RW,73,78,9,1,11,3674,60.76,5,No,High,winger,12,0.0213663581927055,prime,False
67,Player_67,20,Netherlands,PSG,ST,62,78,46,12,0,4055,137.02,4,No,High,attacker,12,0.019482120838471024,young,False
68,Player_68,38,Brazil,PSG,LB,93,70,51,15,21,2706,171.2,2,Yes,Low,defender,36,0.07261640798226164,veteran,False
69,Player_69,34,England,Manchester City,CM,92,78,33,7,3,2099,116.45,0,No,Low,midfielder,10,0.03430204859456884,veteran,False
70,Player_70,28,Spain,Bayern Munich,LW,83,81,50,7,17,2565,122.12,4,No,Medium,winger,24,0.048927875243664716,prime,False
71,Player_71,18,Germany,Juventus,CDM,68,82,2,9,14,3017,18.97,3,No,High,midfielder,23,0.035797149486244614,young,False
72,Player_72,26,Netherlands,Manchester City,CB,72,84,45,32,2,108,85.62,0,No,Low,defender,34,1.3333333333333333,prime,False
73,Player_73,20,England,Bayern Munich,GK,61,81,38,30,6,3422,159.67,4,No,Low,goalkeeper,36,0.04278199883109293,young,False
74,Player_74,30,Argentina,Real Madrid,CM,66,80,7,11,5,65,43.74,4,No,Low,midfielder,16,1.1538461538461537,veteran,False
75,Player_75,32,Germany,Manchester City,LW,80,96,31,8,14,3081,142.01,2,No,Medium,winger,22,0.0379746835443038,veteran,False
76,Player_76,31,Germany,Bayern Munich,CDM,78,73,42,36,14,4297,121.79,0,No,Low,midfielder,50,0.03886432394693973,veteran,False
77,Player_77,24,England,Manchester City,RW,84,91,28,8,5,2948,40.53,4,No,High,winger,13,0.02968113975576662,prime,False
78,Player_78,30,Portugal,Manchester City,LW,81,97,21,17,7,213,51.26,5,No,Medium,winger,24,0.5845070422535211,veteran,False
79,Player_79,39,France,Juventus,ST,70,74,19,29,7,4422,77.25,3,No,Low,attacker,36,0.03889642695612845,veteran,False
80,Player_80,24,Portugal,Juventus,LW,92,81,5,31,21,1040,22.96,0,Yes,Low,winger,52,0.21923076923076923,prime,False
81,Player_81,37,England,Bayern Munich,CB,91,81,42,39,0,987,164.45,5,No,Low,defender,39,0.1778115501519757,veteran,False
82,Player_82,32,Germany,Bayern Munich,RB,80,82,48,22,12,3195,133.21,2,No,Medium,defender,34,0.051956181533646326,veteran,False
83,Player_83,29,Netherlands,FC Barcelona,RW,79,87,28,10,22,503,66.01,1,No,Medium,winger,32,0.30119284294234594,prime,False
84,Player_84,34,Argentina,Manchester City,GK,67,98,41,19,23,755,54.29,4,Yes,Low,goalkeeper,42,0.2129801324503311,veteran,False
85,Player_85,31,Netherlands,PSG,GK,68,72,16,18,20,1341,124.28,1,No,Medium,goalkeeper,38,0.12170022371364653,veteran,False
86,Player_86,37,Netherlands,Manchester City,LW,84,77,30,35,12,2588,76.65,4,No,Medium,winger,47,0.07979134466769706,veteran,False
87,Player_87,29,Germany,Manchester City,RB,84,87,52,25,10,1381,41.67,5,No,Low,defender,35,0.12382331643736423,prime,False
88,Player_88,25,Portugal,Bayern Munich,CDM,92,84,33,9,3,2987,77.71,2,No,Low,midfielder,12,0.025443588885169066,prime,False
89,Player_89,31,Argentina,Manchester City,CM,61,86,37,23,6,2844,156.9,2,No,Low,midfielder,29,0.03533755274261603,veteran,False
90,Player_90,29,Brazil,Liverpool,CDM,78,87,36,12,11,2519,12.81,2,No,Low,midfielder,23,0.042477173481540294,prime,False
91,Player_91,17,Spain,Manchester City,CM,79,67,3,33,12,3726,66.62,2,No,Medium,midfielder,45,0.04119699409554482,young,False
92,Player_92,23,Germany,Liverpool,RB,88,98,1,28,21,1887,173.24,0,No,Low,defender,49,0.10704822469528352,prime,False
93,Player_93,25,England,Juventus,CM,65,97,11,35,11,1323,3.16,0,No,Low,midfielder,46,0.1107331821617536,prime,False
94,Player_94,17,Brazil,PSG,CB,76,81,34,6,15,3809,160.37,4,Yes,High,defender,21,0.03938041480703597,young,False
95,Player_95,28,Spain,Bayern Munich,LW,84,83,5,29,5,3747,67.78,0,No,Low,winger,34,0.0429677074993328,prime,False
96,Player_96,24,England,Manchester City,CDM,63,94,45,16,13,2131,34.52,4,No,Low,midfielder,29,0.05419990614734866,prime,False
97,Player_97,27,Netherlands,Liverpool,CB,89,87,7,12,18,2424,3.19,0,No,Medium,defender,30,0.07487623762376237,prime,False
98,Player_98,35,France,Liverpool,CDM,79,79,20,23,15,3384,13.16,0,No,Low,midfielder,38,0.04299645390070922,veteran,False
99,Player_99,33,England,Juventus,LW,62,78,52,30,3,2251,31.35,0,No,Low,winger,33,0.06508218569524656,veteran,False
100,Player_100,24,Argentina,Liverpool,LB,82,66,45,26,4,1008,5.06,3,No,Medium,defender,30,0.15575396825396826,prime,False
101,Player_101,19,Argentina,Real Madrid,CM,77,82,34,20,8,1317,60.79,2,No,High,midfielder,28,0.08390280941533788,young,False
102,Player_102,19,France,FC Barcelona,RB,85,70,47,0,23,3216,8.56,3,No,Low,defender,23,0.05394900497512438,young,False
103,Player_103,17,Brazil,PSG,LB,67,96,14,14,2,16,124.75,0,No,High,defender,16,7.40625,young,False
104,Player_104,21,Spain,Juventus,LB,76,85,6,2,21,1802,147.49,0,No,Medium,defender,23,0.0876803551609323,young,False
105,Player_105,26,England,Juventus,GK,90,92,14,5,9,2623,159.8,3,Yes,Medium,goalkeeper,14,0.08234845596645063,prime,False
106,Player_106,23,Argentina,Manchester City,ST,92,91,44,13,16,129,99.07,5,Yes,Medium,attacker,29,1.1317829457364341,prime,False
107,Player_107,25,Brazil,Real Madrid,CB,86,66,5,37,18,1473,170.4,4,No,Low,defender,55,0.13713509843856075,prime,False
108,Player_108,23,France,Manchester City,CB,63,97,46,32,9,949,1.51,2,No,Low,defender,41,0.15226554267650158,prime,False
109,Player_109,25,Portugal,Manchester City,CB,81,80,16,37,11,3996,24.56,4,Yes,Low,defender,48,0.04517017017017017,prime,False
110,Player_110,24,Germany,Bayern Munich,CB,85,86,3,7,22,1068,53.12,5,No,Low,defender,29,0.16713483146067415,prime,False
111,Player_111,28,Portugal,Bayern Munich,LB,91,77,21,25,6,4311,142.13,2,No,High,defender,31,0.04024588262584087,prime,False
112,Player_112,18,Portugal,Bayern Munich,CB,83,66,31,14,17,1623,159.43,1,No,Medium,defender,31,0.10628465804066543,young,False
113,Player_113,17,Argentina,Real Madrid,ST,94,78,21,13,18,2895,111.46,2,Yes,Medium,attacker,31,0.05284974093264249,young,False
114,Player_114,32,Netherlands,Manchester City,RW,91,92,26,19,14,2736,69.29,4,No,Medium,winger,33,0.05884502923976608,veteran,False
115,Player_115,39,Netherlands,FC Barcelona,LW,66,71,45,18,6,2312,120.02,2,Yes,High,winger,24,0.05060553633217993,veteran,False
