player_id,player_name,age,nationality,club,position,overall_rating,potential_rating,matches_played,goals,assists,minutes_played,market_value_million_eur,contract_years_left,injury_prone,transfer_risk_level,position_group,goal_contribution,performance_score,age_group,experienced,predicted_market_value,value_gap
1105,Player_1105,24,Germany,Liverpool,LW,92,86,7,28,10,1973,0.72,1,No,Medium,winger,38,0.0907247845919918,prime,False,91.5440143826045,90.8240143826045
2411,Player_2411,20,Portugal,Bayern Munich,CM,92,81,30,26,11,485,0.84,1,No,High,midfielder,37,0.2927835051546392,young,False,91.40923091124165,90.56923091124165
484,Player_484,34,Netherlands,Juventus,LB,92,71,51,36,9,1214,0.9,0,No,Low,defender,45,0.158154859967051,veteran,False,91.17142236145233,90.27142236145232
18,Player_18,18,Germany,PSG,RB,91,65,42,6,14,1183,0.79,3,Yes,Medium,defender,20,0.1441251056635672,young,False,90.88534312637408,90.09534312637408
1521,Player_1521,21,Brazil,Manchester City,CDM,93,88,3,15,19,32,1.51,3,No,High,midfielder,34,4.765625,young,False,91.4570433689712,89.9470433689712
248,Player_248,23,France,FC Barcelona,GK,88,65,23,8,18,1876,0.67,5,Yes,Low,goalkeeper,26,0.1125799573560767,prime,False,90.46882438437696,89.79882438437696
2103,Player_2103,17,France,Bayern Munich,RW,85,93,24,35,12,1450,1.09,4,No,Low,winger,47,0.1427586206896551,young,False,90.73675236420067,89.64675236420067
1378,Player_1378,27,Netherlands,Real Madrid,LB,86,91,1,16,11,3991,1.22,3,No,Low,defender,27,0.041844149336006,prime,False,90.833011625384,89.613011625384
2611,Player_2611,37,Portugal,Manchester City,GK,87,68,16,35,23,930,0.85,2,Yes,High,goalkeeper,58,0.224516129032258,veteran,False,90.39648988168058,89.54648988168059
2285,Player_2285,21,Portugal,Liverpool,ST,92,69,12,0,12,2021,2.12,5,No,Medium,attacker,12,0.0405739732805541,young,False,91.12920465712433,89.00920465712433
2247,Player_2247,29,Brazil,Liverpool,LB,86,66,37,2,5,2192,1.33,1,No,Low,defender,7,0.0643248175182481,prime,False,90.21732457802842,88.88732457802843
190,Player_190,18,Netherlands,Real Madrid,CDM,88,85,33,24,13,147,2.06,1,No,Low,midfielder,37,0.979591836734694,young,False,90.90920461523508,88.84920461523508
594,Player_594,24,Germany,FC Barcelona,GK,93,86,17,8,20,1970,2.85,3,No,Low,goalkeeper,28,0.1132994923857867,prime,False,91.68214306182973,88.83214306182974
1616,Player_1616,25,Germany,Bayern Munich,ST,93,88,18,18,15,2250,3.1,0,No,Medium,attacker,33,0.0726666666666666,prime,False,91.73368726220876,88.63368726220877
1497,Player_1497,31,Brazil,Liverpool,LW,92,85,18,37,3,2945,2.94,4,Yes,Medium,winger,40,0.0631578947368421,veteran,False,91.52106494188546,88.58106494188546
191,Player_191,19,Netherlands,FC Barcelona,CB,86,87,40,38,3,2170,2.22,2,No,Low,defender,41,0.0797235023041474,young,False,90.73248079144618,88.51248079144618
277,Player_277,36,Netherlands,Liverpool,CDM,92,70,46,20,24,785,2.66,2,No,Low,midfielder,44,0.2318471337579618,veteran,False,91.14250382250839,88.48250382250839
1931,Player_1931,29,Portugal,FC Barcelona,CM,94,82,22,21,19,1874,3.35,3,No,Low,midfielder,40,0.0880469583778014,prime,False,91.72479320129261,88.37479320129262
2295,Player_2295,19,Brazil,Juventus,RW,80,72,30,31,10,3600,1.39,3,Yes,Medium,winger,41,0.0509722222222222,young,False,89.52880196190758,88.13880196190757
818,Player_818,20,Germany,Juventus,LW,83,80,23,25,17,2684,2.06,5,No,Medium,winger,42,0.070230998509687,young,False,90.14264075885303,88.08264075885303
97,Player_97,27,Netherlands,Liverpool,CB,89,87,7,12,18,2424,3.19,0,No,Medium,defender,30,0.0748762376237623,prime,False,91.15114481965685,87.96114481965685
1222,Player_1222,39,Portugal,FC Barcelona,CM,79,79,6,10,18,3650,1.67,1,Yes,Medium,midfielder,28,0.0360273972602739,veteran,False,89.56224482624407,87.89224482624407
2525,Player_2525,25,France,Liverpool,CM,91,66,12,16,23,589,3.07,0,Yes,Medium,midfielder,39,0.2877758913412563,prime,False,90.90144956986163,87.83144956986163
2083,Player_2083,22,Netherlands,Bayern Munich,ST,83,91,46,30,11,236,2.55,2,No,Low,attacker,41,0.8241525423728814,young,False,90.36851725773441,87.81851725773441
1844,Player_1844,19,France,Liverpool,ST,88,85,25,4,4,4034,3.33,5,No,Low,attacker,8,0.0178482895389191,young,False,90.96589816763732,87.63589816763732
834,Player_834,28,England,PSG,ST,79,68,34,7,11,3951,1.72,4,No,Low,attacker,18,0.0254365983295368,prime,False,89.29254993038681,87.57254993038681
1026,Player_1026,30,Portugal,Real Madrid,ST,84,79,5,0,2,3041,2.82,2,No,High,attacker,2,0.0157842814863531,veteran,False,90.26073527896165,87.44073527896165
1536,Player_1536,37,Spain,Bayern Munich,RW,83,84,26,32,23,4459,3.13,0,No,High,winger,55,0.0524781341107871,veteran,False,90.24198516202385,87.11198516202386
1002,Player_1002,19,Germany,Manchester City,RW,88,81,38,34,12,2901,3.84,2,No,Low,winger,46,0.0706652878317821,young,False,90.86448677860717,87.02448677860717
1014,Player_1014,21,Spain,FC Barcelona,CDM,67,94,24,5,19,1140,1.54,0,No,Medium,midfielder,24,0.1048245614035087,young,False,88.25329327318727,86.71329327318726
487,Player_487,17,Argentina,Juventus,CB,72,94,36,12,17,3198,2.27,5,No,High,defender,29,0.0481550969355847,young,False,88.95393101258487,86.68393101258488
952,Player_952,20,Germany,Juventus,CM,89,87,18,31,21,456,4.49,2,No,Medium,midfielder,52,0.4177631578947368,young,False,91.1309320741291,86.64093207412911
541,Player_541,25,England,Juventus,ST,78,84,45,18,12,2500,2.93,4,No,Low,attacker,30,0.0588,prime,False,89.54431534918699,86.61431534918698
27,Player_27,33,Spain,Juventus,CM,81,77,9,16,15,2835,3.28,2,No,Low,midfielder,31,0.04673721340388,veteran,False,89.79138340778974,86.51138340778974
2418,Player_2418,36,Brazil,Juventus,RW,72,74,4,31,2,3428,1.97,3,No,Low,winger,33,0.0441948658109684,veteran,False,88.46267499057765,86.49267499057765
130,Player_130,21,Spain,Manchester City,RB,75,84,7,39,15,4101,2.67,3,No,Low,defender,54,0.0442574981711777,young,False,89.12679432291988,86.45679432291988
1345,Player_1345,38,Spain,Real Madrid,LB,72,84,35,28,7,2403,2.34,0,Yes,High,defender,35,0.062421972534332,veteran,False,88.70734526222606,86.36734526222605
270,Player_270,36,Spain,Juventus,LB,74,84,4,2,0,2092,2.67,5,Yes,Medium,defender,2,0.0540152963671128,veteran,False,88.98675968380755,86.31675968380755
108,Player_108,23,France,Manchester City,CB,63,97,46,32,9,949,1.51,2,No,Low,defender,41,0.1522655426765015,prime,False,87.76638239134472,86.25638239134472
1769,Player_1769,33,Argentina,PSG,GK,72,89,15,24,14,1290,2.63,0,No,Medium,goalkeeper,38,0.133953488372093,veteran,False,88.82600093897118,86.19600093897118
1588,Player_1588,24,Germany,Real Madrid,RB,79,65,15,28,1,4294,3.07,5,No,Medium,defender,29,0.0345831392640894,prime,False,89.21828733260841,86.14828733260842
1876,Player_1876,26,Portugal,Liverpool,GK,66,72,8,21,15,4337,1.45,0,No,Medium,goalkeeper,36,0.0365229421258934,prime,False,87.57722171710141,86.1272217171014
495,Player_495,24,France,Manchester City,CM,75,67,38,21,1,2395,2.8,4,Yes,Medium,midfielder,22,0.0348643006263048,prime,False,88.70958198822167,85.90958198822167
2329,Player_2329,39,France,Real Madrid,LW,61,86,17,5,23,1022,1.36,0,No,Medium,winger,28,0.12573385518591,veteran,False,87.21870833171533,85.85870833171533
1828,Player_1828,23,England,Juventus,CM,91,85,1,10,15,2329,5.55,0,No,Low,midfielder,25,0.053885787891799,prime,False,91.38215209134327,85.83215209134327
430,Player_430,31,Netherlands,Juventus,CM,94,68,30,29,14,3481,5.61,3,Yes,High,midfielder,43,0.0462510772766446,veteran,False,91.3832143842446,85.7732143842446
2789,Player_2789,38,Argentina,FC Barcelona,ST,70,88,53,36,22,1066,2.78,3,Yes,Medium,attacker,58,0.2298311444652908,veteran,False,88.5168557413368,85.7368557413368
2275,Player_2275,25,Germany,Bayern Munich,ST,71,74,36,18,21,2706,2.72,1,Yes,Medium,attacker,39,0.0630081300813008,prime,False,88.32210654331874,85.60210654331874
2646,Player_2646,25,France,PSG,LB,76,93,23,1,13,3346,3.94,3,Yes,Medium,defender,14,0.0421398684997011,prime,False,89.48754884652233,85.54754884652233
363,Player_363,32,England,Bayern Munich,CDM,72,94,43,5,7,604,3.5,2,No,Low,midfielder,12,0.1225165562913907,veteran,False,88.94954749963594,85.44954749963594
1025,Player_1025,24,Spain,Manchester City,CB,72,73,18,0,2,1054,3.01,5,No,Low,defender,2,0.1062618595825427,prime,False,88.43444174702653,85.42444174702652
1287,Player_1287,36,Argentina,Bayern Munich,LB,78,81,47,4,6,1076,4.05,1,Yes,Low,defender,10,0.1236059479553903,veteran,False,89.46677170053196,85.41677170053197
947,Player_947,29,England,Manchester City,RW,86,94,23,12,24,30,5.2,4,No,Low,winger,36,5.633333333333334,prime,False,90.57712390826498,85.37712390826498
704,Player_704,17,Germany,PSG,LW,75,90,33,11,10,640,3.91,0,No,Low,winger,21,0.1734375,young,False,89.26662616875477,85.35662616875477
2500,Player_2500,29,Portugal,Liverpool,RW,75,97,23,21,19,4095,4.09,4,No,Low,winger,40,0.0433455433455433,prime,False,89.44631623866026,85.35631623866026
1432,Player_1432,33,Brazil,Manchester City,CB,69,79,31,14,15,1401,2.98,2,No,High,defender,29,0.1052819414703783,veteran,False,88.16356806556124,85.18356806556123
2225,Player_2225,39,England,Manchester City,CB,61,83,54,1,8,4340,1.99,3,No,Low,defender,9,0.025,veteran,False,87.15092304279291,85.16092304279292
2314,Player_2314,31,Brazil,FC Barcelona,ST,69,71,24,24,0,1652,2.87,5,Yes,High,attacker,24,0.0789951573849879,veteran,False,87.96852184884489,85.09852184884488
1088,Player_1088,20,Netherlands,Liverpool,CM,83,82,7,22,4,2632,5.11,4,No,Medium,midfielder,26,0.038563829787234,young,False,90.19365644521577,85.08365644521577
